=== SMELL DETAIL REPORT — Milestone 4 ===
Release  : 4.1.1
Generated: 2026-07-15
Selection: G=7, X=7 mod 5=2, case 2 (first+2 and last-2)
Ranked classes after filters: 602

================================================================================
CLASS A (rank 3, first+2):
  Path   : openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
  LOC    : 5510
  Nsmells: 1576

  #      Rule                                           Category                Lines       Message
  --------------------------------------------------------------------------------------------------------------------------------------------
  1      ExcessiveImports                               Design                  19-5510     A high number of imports can indicate a high degree of coupling within an object.
  106    FieldNamingConventions                         Code Style              266         The field name '_fromWriteBehindCallback' doesn't match '[a-z][a-zA-Z0-9]*'
  107    FieldNamingConventions                         Code Style              267         The field name '_fcs' doesn't match '[a-z][a-zA-Z0-9]*'
  108    LongVariable                                   Code Style              271         Avoid excessively long variable names like _supportedPropertyNames
  109    FieldNamingConventions                         Code Style              271         The static field name '_supportedPropertyNames' doesn't match '[a-z][a-zA-Z0-9]*'
  110    FieldNamingConventions                         Code Style              294         The field name '_printParameters' doesn't match '[a-z][a-zA-Z0-9]*'
  111    LongVariable                                   Code Style              295         Avoid excessively long variable names like PRINT_PARAMETERS_CONFIG_STR
  112    MethodArgumentCouldBeFinal                     Code Style              306         Parameter 'user' is not assigned and could be declared final
  113    MethodArgumentCouldBeFinal                     Code Style              306         Parameter 'pass' is not assigned and could be declared final
  114    MethodArgumentCouldBeFinal                     Code Style              323         Parameter 'factory' is not assigned and could be declared final
  115    ShortVariable                                  Code Style              324         Avoid variables with short names like sm
  116    MethodArgumentCouldBeFinal                     Code Style              324         Parameter 'sm' is not assigned and could be declared final
  117    MethodArgumentCouldBeFinal                     Code Style              324         Parameter 'managed' is not assigned and could be declared final
  118    MethodArgumentCouldBeFinal                     Code Style              324         Parameter 'connMode' is not assigned and could be declared final
  119    LongVariable                                   Code Style              325         Avoid excessively long variable names like fromDeserialization
  120    MethodArgumentCouldBeFinal                     Code Style              325         Parameter 'fromDeserialization' is not assigned and could be declared final
  121    CyclomaticComplexity                           Design                  329         The method 'initialize(AbstractBrokerFactory, DelegatingStoreManager, boolean, int, boolean, bool...
  122    NPathComplexity                                Design                  329         The method 'initialize(AbstractBrokerFactory, DelegatingStoreManager, boolean, int, boolean, bool...
  123    MethodArgumentCouldBeFinal                     Code Style              329         Parameter 'factory' is not assigned and could be declared final
  124    ShortVariable                                  Code Style              330         Avoid variables with short names like sm
  125    MethodArgumentCouldBeFinal                     Code Style              330         Parameter 'sm' is not assigned and could be declared final
  126    MethodArgumentCouldBeFinal                     Code Style              330         Parameter 'managed' is not assigned and could be declared final
  127    MethodArgumentCouldBeFinal                     Code Style              330         Parameter 'connMode' is not assigned and could be declared final
  128    LongVariable                                   Code Style              331         Avoid excessively long variable names like fromDeserialization
  129    MethodArgumentCouldBeFinal                     Code Style              331         Parameter 'fromDeserialization' is not assigned and could be declared final
  130    LongVariable                                   Code Style              331         Avoid excessively long variable names like fromWriteBehindCallback
  131    MethodArgumentCouldBeFinal                     Code Style              331         Parameter 'fromWriteBehindCallback' is not assigned and could be declared final
  132    ControlStatementBraces                         Code Style              344         This statement should have braces
  133    ControlStatementBraces                         Code Style              352         This statement should have braces
  134    ControlStatementBraces                         Code Style              354         This statement should have braces
  135    LocalVariableCouldBeFinal                      Code Style              359         Local variable 'cmode' could be declared final
  136    ControlStatementBraces                         Code Style              379         This statement should have braces
  137    ControlStatementBraces                         Code Style              397         This statement should have braces
  138    ControlStatementBraces                         Code Style              401         This statement should have braces
  139    CloneMethodReturnTypeMustMatchClassName        Error Prone             420         The return type of the clone() method must be the class name when implements Cloneable
  140    ControlStatementBraces                         Code Style              423         This statement should have braces
  141    LooseCoupling                                  Best Practices          434         Avoid using implementation types like 'Map'; use the interface instead
  142    MethodArgumentCouldBeFinal                     Code Style              453         Parameter 'call' is not assigned and could be declared final
  143    ShortVariable                                  Code Style              454         Avoid variables with short names like ex
  144    MethodArgumentCouldBeFinal                     Code Style              454         Parameter 'ex' is not assigned and could be declared final
  145    ControlStatementBraces                         Code Style              456         This statement should have braces
  146    ControlStatementBraces                         Code Style              458         This statement should have braces
  147    CommentDefaultAccessModifier                   Code Style              461         Missing commented default access modifier on method 'getInstanceExceptionTranslator()'
  148    ShortVariable                                  Code Style              486         Avoid variables with short names like fc
  149    MethodArgumentCouldBeFinal                     Code Style              486         Parameter 'fc' is not assigned and could be declared final
  150    ControlStatementBraces                         Code Style              488         This statement should have braces
  151    ControlStatementBraces                         Code Style              497-498     This statement should have braces
  152    MethodArgumentCouldBeFinal                     Code Style              553         Parameter 'multithreaded' is not assigned and could be declared final
  153    ControlStatementBraces                         Code Style              557         This statement should have braces
  154    ControlStatementBraces                         Code Style              559         This statement should have braces
  155    NullAssignment                                 Error Prone             559         Assigning an Object to null is a code smell.  Consider refactoring.
  156    MethodArgumentCouldBeFinal                     Code Style              568         Parameter 'val' is not assigned and could be declared final
  157    MethodArgumentCouldBeFinal                     Code Style              579         Parameter 'val' is not assigned and could be declared final
  158    ControlStatementBraces                         Code Style              582         This statement should have braces
  159    ControlStatementBraces                         Code Style              587-588     This statement should have braces
  160    MethodArgumentCouldBeFinal                     Code Style              599         Parameter 'val' is not assigned and could be declared final
  161    ControlStatementBraces                         Code Style              602         This statement should have braces
  162    MethodArgumentCouldBeFinal                     Code Style              613         Parameter 'val' is not assigned and could be declared final
  163    ControlStatementBraces                         Code Style              616-617     This statement should have braces
  164    ControlStatementBraces                         Code Style              621-622     This statement should have braces
  165    MethodArgumentCouldBeFinal                     Code Style              633         Parameter 'val' is not assigned and could be declared final
  166    ControlStatementBraces                         Code Style              636-637     This statement should have braces
  167    MethodArgumentCouldBeFinal                     Code Style              648         Parameter 'val' is not assigned and could be declared final
  168    ControlStatementBraces                         Code Style              651         This statement should have braces
  169    MethodArgumentCouldBeFinal                     Code Style              661         Parameter 'val' is not assigned and could be declared final
  170    MethodArgumentCouldBeFinal                     Code Style              677         Parameter 'detachFlags' is not assigned and could be declared final
  171    MethodArgumentCouldBeFinal                     Code Style              684         Parameter 'detachFlag' is not assigned and could be declared final
  172    ShortVariable                                  Code Style              684         Avoid variables with short names like on
  173    MethodArgumentCouldBeFinal                     Code Style              684         Parameter 'on' is not assigned and could be declared final
  174    ControlStatementBraces                         Code Style              688         This statement should have braces
  175    ControlStatementBraces                         Code Style              690         This statement should have braces
  176    MethodArgumentCouldBeFinal                     Code Style              699         Parameter 'mode' is not assigned and could be declared final
  177    MethodArgumentCouldBeFinal                     Code Style              710         Parameter 'isNew' is not assigned and could be declared final
  178    MethodArgumentCouldBeFinal                     Code Style              721         Parameter 'sync' is not assigned and could be declared final
  179    MethodArgumentCouldBeFinal                     Code Style              732         Parameter 'evict' is not assigned and could be declared final
  180    MethodArgumentCouldBeFinal                     Code Style              743         Parameter 'cache' is not assigned and could be declared final
  181    MethodArgumentCouldBeFinal                     Code Style              754         Parameter 'largeTransaction' is not assigned and could be declared final
  182    MethodArgumentCouldBeFinal                     Code Style              760         Parameter 'key' is not assigned and could be declared final
  183    MethodArgumentCouldBeFinal                     Code Style              770         Parameter 'key' is not assigned and could be declared final
  184    MethodArgumentCouldBeFinal                     Code Style              770         Parameter 'val' is not assigned and could be declared final
  185    OnlyOneReturn                                  Code Style              774         A method should have only one exit point, and that should be the last statement in the method
  186    ControlStatementBraces                         Code Style              774         This statement should have braces
  187    ControlStatementBraces                         Code Style              777         This statement should have braces
  188    LooseCoupling                                  Best Practices          792         Avoid using implementation types like 'Map'; use the interface instead
  189    LocalVariableCouldBeFinal                      Code Style              792         Local variable 'props' could be declared final
  190    LocalVariableCouldBeFinal                      Code Style              793         Local variable 's' could be declared final
  191    LocalVariableCouldBeFinal                      Code Style              808         Local variable 'keys' could be declared final
  192    ControlStatementBraces                         Code Style              809-810     This statement should have braces
  193    LocalVariableCouldBeFinal                      Code Style              809         Local variable 's' could be declared final
  194    MethodArgumentCouldBeFinal                     Code Style              819         Parameter 'listener' is not assigned and could be declared final
  195    MethodArgumentCouldBeFinal                     Code Style              819         Parameter 'classes' is not assigned and could be declared final
  196    MethodArgumentCouldBeFinal                     Code Style              829         Parameter 'listener' is not assigned and could be declared final
  197    MethodArgumentCouldBeFinal                     Code Style              844         Parameter 'mode' is not assigned and could be declared final
  198    CommentDefaultAccessModifier                   Code Style              867         Missing commented default access modifier on method 'fireLifecycleEvent(Object, Object, ClassMeta...
  199    MethodArgumentCouldBeFinal                     Code Style              867         Parameter 'src' is not assigned and could be declared final
  200    MethodArgumentCouldBeFinal                     Code Style              867         Parameter 'related' is not assigned and could be declared final
  201    MethodArgumentCouldBeFinal                     Code Style              867         Parameter 'meta' is not assigned and could be declared final
  202    MethodArgumentCouldBeFinal                     Code Style              868         Parameter 'eventType' is not assigned and could be declared final
  203    OnlyOneReturn                                  Code Style              870         A method should have only one exit point, and that should be the last statement in the method
  204    ControlStatementBraces                         Code Style              870         This statement should have braces
  205    OnlyOneReturn                                  Code Style              872         A method should have only one exit point, and that should be the last statement in the method
  206    ControlStatementBraces                         Code Style              872         This statement should have braces
  207    LocalVariableCouldBeFinal                      Code Style              875         Local variable 'exs' could be declared final
  208    CyclomaticComplexity                           Design                  888         The method 'handleCallbackExceptions(Exception[], int)' has a cyclomatic complexity of 12.
  209    MethodArgumentCouldBeFinal                     Code Style              888         Parameter 'exceps' is not assigned and could be declared final
  210    MethodArgumentCouldBeFinal                     Code Style              888         Parameter 'mode' is not assigned and could be declared final
  211    ControlStatementBraces                         Code Style              890         This statement should have braces
  212    ShortVariable                                  Code Style              892         Avoid variables with short names like ce
  213    LocalVariableCouldBeFinal                      Code Style              892         Local variable 'ce' could be declared final
  214    AvoidLiteralsInIfCondition                     Error Prone             893         Avoid using literals in if statements
  215    ControlStatementBraces                         Code Style              897         This statement should have braces
  216    ControlStatementBraces                         Code Style              899         This statement should have braces
  217    ControlStatementBraces                         Code Style              909         This statement should have braces
  218    ControlStatementBraces                         Code Style              911         This statement should have braces
  219    ShortVariable                                  Code Style              915         Avoid variables with short names like tl
  220    MethodArgumentCouldBeFinal                     Code Style              915         Parameter 'tl' is not assigned and could be declared final
  221    ControlStatementBraces                         Code Style              920         This statement should have braces
  222    ShortVariable                                  Code Style              927         Avoid variables with short names like tl
  223    MethodArgumentCouldBeFinal                     Code Style              927         Parameter 'tl' is not assigned and could be declared final
  224    ControlStatementBraces                         Code Style              932         This statement should have braces
  225    MethodArgumentCouldBeFinal                     Code Style              949         Parameter 'mode' is not assigned and could be declared final
  226    MethodArgumentCouldBeFinal                     Code Style              962         Parameter 'trans' is not assigned and could be declared final
  227    ControlStatementBraces                         Code Style              964-965     This statement should have braces
  228    ShortVariable                                  Code Style              972         Avoid variables with short names like b
  229    MethodArgumentCouldBeFinal                     Code Style              972         Parameter 'b' is not assigned and could be declared final
  230    BooleanGetMethodName                           Code Style              980         A getX() method which returns a boolean or Boolean should be named isX()
  231    MethodArgumentCouldBeFinal                     Code Style              988         Parameter 'oid' is not assigned and could be declared final
  232    MethodArgumentCouldBeFinal                     Code Style              988         Parameter 'validate' is not assigned and could be declared final
  233    MethodArgumentCouldBeFinal                     Code Style              988         Parameter 'call' is not assigned and could be declared final
  234    ControlStatementBraces                         Code Style              991         This statement should have braces
  235    MethodArgumentCouldBeFinal                     Code Style              996         Parameter 'oid' is not assigned and could be declared final
  236    MethodArgumentCouldBeFinal                     Code Style              996         Parameter 'fetch' is not assigned and could be declared final
  237    MethodArgumentCouldBeFinal                     Code Style              996         Parameter 'exclude' is not assigned and could be declared final
  238    MethodArgumentCouldBeFinal                     Code Style              997         Parameter 'edata' is not assigned and could be declared final
  239    MethodArgumentCouldBeFinal                     Code Style              997         Parameter 'flags' is not assigned and could be declared final
  240    CognitiveComplexity                            Design                  1004        The method 'find(Object, FetchConfiguration, BitSet, Object, int, FindCallbacks)' has a cognitive...
  241    CyclomaticComplexity                           Design                  1004        The method 'find(Object, FetchConfiguration, BitSet, Object, int, FindCallbacks)' has a cyclomati...
  242    NPathComplexity                                Design                  1004        The method 'find(Object, FetchConfiguration, BitSet, Object, int, FindCallbacks)' has an NPath co...
  243    MethodArgumentCouldBeFinal                     Code Style              1004        Parameter 'exclude' is not assigned and could be declared final
  244    MethodArgumentCouldBeFinal                     Code Style              1005        Parameter 'edata' is not assigned and could be declared final
  245    MethodArgumentCouldBeFinal                     Code Style              1005        Parameter 'flags' is not assigned and could be declared final
  246    AvoidReassigningParameters                     Best Practices          1007        Avoid reassigning parameters such as 'call'
  247    ControlStatementBraces                         Code Style              1007        This statement should have braces
  248    AvoidReassigningParameters                     Best Practices          1008        Avoid reassigning parameters such as 'oid'
  249    ControlStatementBraces                         Code Style              1011        This statement should have braces
  250    OnlyOneReturn                                  Code Style              1012        A method should have only one exit point, and that should be the last statement in the method
  251    AvoidReassigningParameters                     Best Practices          1015        Avoid reassigning parameters such as 'fetch'
  252    ControlStatementBraces                         Code Style              1015        This statement should have braces
  253    ShortVariable                                  Code Style              1022        Avoid variables with short names like sm
  254    OnlyOneReturn                                  Code Style              1026        A method should have only one exit point, and that should be the last statement in the method
  255    ControlStatementBraces                         Code Style              1026        This statement should have braces
  256    ControlStatementBraces                         Code Style              1032        This statement should have braces
  257    LocalVariableCouldBeFinal                      Code Style              1033        Local variable 'loaded' could be declared final
  258    ControlStatementBraces                         Code Style              1040        This statement should have braces
  259    OnlyOneReturn                                  Code Style              1041        A method should have only one exit point, and that should be the last statement in the method
  260    OnlyOneReturn                                  Code Style              1051        A method should have only one exit point, and that should be the last statement in the method
  261    ControlStatementBraces                         Code Style              1051        This statement should have braces
  262    LocalVariableCouldBeFinal                      Code Style              1061        Local variable 'level' could be declared final
  263    OnlyOneReturn                                  Code Style              1065        A method should have only one exit point, and that should be the last statement in the method
  264    OnlyOneReturn                                  Code Style              1071        A method should have only one exit point, and that should be the last statement in the method
  265    ControlStatementBraces                         Code Style              1071        This statement should have braces
  266    LocalVariableCouldBeFinal                      Code Style              1075        Local variable 'load' could be declared final
  267    ControlStatementBraces                         Code Style              1079        This statement should have braces
  268    OnlyOneReturn                                  Code Style              1080        A method should have only one exit point, and that should be the last statement in the method
  269    ControlStatementBraces                         Code Style              1091        This statement should have braces
  270    OnlyOneReturn                                  Code Style              1092        A method should have only one exit point, and that should be the last statement in the method
  271    AvoidRethrowingException                       Design                  1096-1098   A catch statement that catches an exception only to rethrow it should be avoided.
  272    AvoidCatchingGenericException                  Design                  1098        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  273    ShortVariable                                  Code Style              1108        Avoid variables with short names like sm
  274    MethodArgumentCouldBeFinal                     Code Style              1108        Parameter 'sm' is not assigned and could be declared final
  275    MethodArgumentCouldBeFinal                     Code Style              1108        Parameter 'load' is not assigned and could be declared final
  276    MethodArgumentCouldBeFinal                     Code Style              1109        Parameter 'fetch' is not assigned and could be declared final
  277    MethodArgumentCouldBeFinal                     Code Style              1109        Parameter 'edata' is not assigned and could be declared final
  278    ConfusingTernary                               Code Style              1110-1123   Avoid if (x != y) ..; else ..;
  279    LocalVariableCouldBeFinal                      Code Style              1114        Local variable 'state' could be declared final
  280    UselessParentheses                             Code Style              1114        Useless parentheses.
  281    LawOfDemeter                                   Design                  1115        Access to field `PCLEAN` on foreign value `PCState` (degree 1)
  282    LawOfDemeter                                   Design                  1115        Access to field `PNONTRANS` on foreign value `PCState` (degree 1)
  283    OnlyOneReturn                                  Code Style              1119        A method should have only one exit point, and that should be the last statement in the method
  284    ControlStatementBraces                         Code Style              1119        This statement should have braces
  285    MethodArgumentCouldBeFinal                     Code Style              1128        Parameter 'oids' is not assigned and could be declared final
  286    MethodArgumentCouldBeFinal                     Code Style              1128        Parameter 'validate' is not assigned and could be declared final
  287    MethodArgumentCouldBeFinal                     Code Style              1129        Parameter 'call' is not assigned and could be declared final
  288    ControlStatementBraces                         Code Style              1132        This statement should have braces
  289    MethodArgumentCouldBeFinal                     Code Style              1137        Parameter 'oids' is not assigned and could be declared final
  290    MethodArgumentCouldBeFinal                     Code Style              1137        Parameter 'fetch' is not assigned and could be declared final
  291    MethodArgumentCouldBeFinal                     Code Style              1138        Parameter 'exclude' is not assigned and could be declared final
  292    MethodArgumentCouldBeFinal                     Code Style              1138        Parameter 'edata' is not assigned and could be declared final
